"ID","Name","LongName","Parent"
"L107","","","L101"
"L108","home","/home","L107"
"L109","ahmed","/home/ahmed","L108"
"L110","Desktop","/home/ahmed/Desktop","L109"
"L111","FIT4003","/home/ahmed/Desktop/FIT4003","L110"
"L112","extract","/home/ahmed/Desktop/FIT4003/extract","L111"
"L113","src","/home/ahmed/Desktop/FIT4003/extract/src","L112"
"L114","outputs","/home/ahmed/Desktop/FIT4003/extract/src/outputs","L113"
"L115","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson","L114"
"L116","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson","L115"
"L117","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson","L116"
"L183","codegen","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen","L116"
"L566","examples","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/examples","L116"
"L691","extras","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras","L116"
"L13295","metrics","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics","L116"
"L14128","proto","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto","L116"
"L118","src","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src","L117"
"L184","src","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src","L183"
"L567","android-proguard-example","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/examples/android-proguard-example","L566"
"L692","src","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src","L691"
"L13296","src","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src","L13295"
"L14129","src","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src","L14128"
"L119","main","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main","L118"
"L150","test","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test","L118"
"L185","main","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main","L184"
"L539","test","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/test","L184"
"L568","src","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/examples/android-proguard-example/src","L567"
"L693","main","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main","L692"
"L744","test","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test","L692"
"L13297","main","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main","L13296"
"L14130","main","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/main","L14129"
"L14285","test","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/test","L14129"
"L120","java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java","L119"
"L1813","java-templates","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java-templates","L119"
"L151","java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java","L150"
"L186","java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java","L185"
"L540","java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/test/java","L539"
"L569","com","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/examples/android-proguard-example/src/com","L568"
"L694","java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java","L693"
"L745","java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java","L744"
"L13298","java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java","L13297"
"L14131","java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/main/java","L14130"
"L14286","java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/test/java","L14285"
"L121","com","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com","L120"
"L1814","com","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java-templates/com","L1813"
"L152","com","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com","L151"
"L122","google","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google","L121"
"L1815","google","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java-templates/com/google","L1814"
"L153","google","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google","L152"
"L123","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson","L122"
"L1816","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java-templates/com/google/gson","L1815"
"L1819","internal","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal","L123"
"L5438","annotations","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations","L123"
"L6607","reflect","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/reflect","L123"
"L6774","stream","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/stream","L123"
"L2095","bind","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind","L1819"
"L5028","reflect","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/reflect","L1819"
"L3750","util","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/util","L2095"
"L1817","internal","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java-templates/com/google/gson/internal","L1816"
"L154","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson","L153"
"L1835","internal","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal","L154"
"L6610","reflect","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/reflect","L154"
"L6780","stream","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/stream","L154"
"L7491","common","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/common","L154"
"L7864","functional","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional","L154"
"L13293","metrics","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/metrics","L154"
"L14081","regression","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/regression","L154"
"L2110","bind","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal/bind","L1835"
"L5032","reflect","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal/reflect","L1835"
"L187","com","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com","L186"
"L541","com","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/test/java/com","L540"
"L188","google","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google","L187"
"L542","google","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/test/java/com/google","L541"
"L189","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson","L188"
"L190","codegen","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson/codegen","L189"
"L543","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/test/java/com/google/gson","L542"
"L544","codegen","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/test/java/com/google/gson/codegen","L543"
"L545","functional","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/test/java/com/google/gson/codegen/functional","L544"
"L570","google","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/examples/android-proguard-example/src/com/google","L569"
"L571","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/examples/android-proguard-example/src/com/google/gson","L570"
"L572","examples","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/examples/android-proguard-example/src/com/google/gson/examples","L571"
"L573","android","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/examples/android-proguard-example/src/com/google/gson/examples/android","L572"
"L612","model","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model","L573"
"L695","com","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com","L694"
"L746","com","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com","L745"
"L696","google","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google","L695"
"L747","google","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google","L746"
"L697","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson","L696"
"L698","extras","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/extras","L697"
"L742","graph","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/graph","L697"
"L1124","interceptors","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/interceptors","L697"
"L1352","typeadapters","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters","L697"
"L699","examples","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/extras/examples","L698"
"L700","rawcollections","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/extras/examples/rawcollections","L699"
"L748","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson","L747"
"L749","graph","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/graph","L748"
"L1128","interceptors","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/interceptors","L748"
"L1356","typeadapters","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters","L748"
"L13299","com","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com","L13298"
"L13300","google","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google","L13299"
"L13301","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson","L13300"
"L13302","metrics","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics","L13301"
"L14132","com","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/main/java/com","L14131"
"L14287","com","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/test/java/com","L14286"
"L14133","google","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/main/java/com/google","L14132"
"L14288","google","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/test/java/com/google","L14287"
"L14134","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/main/java/com/google/gson","L14133"
"L14135","protobuf","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/main/java/com/google/gson/protobuf","L14134"
"L14289","gson","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/test/java/com/google/gson","L14288"
"L14290","protobuf","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/test/java/com/google/gson/protobuf","L14289"
"L14291","functional","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/proto/src/test/java/com/google/gson/protobuf/functional","L14290"
