;Project;LinkToMavenRepository;GitHubRepository;Folder;NumberOfPackages;NumberOfClasses
1;ch.qos.logback/logback-classic;http://mvnrepository.com/artifact/ch.qos.logback/logback-classic;https://github.com/qos-ch/logback;logback-classic/src/main/java;30;145
2;com.android.support/appcompat-v7;http://mvnrepository.com/artifact/com.android.support/appcompat-v7;https://github.com/aosp-mirror/platform_frameworks_support;v7/appcompat/src;13;299
3;com.fasterxml.jackson.core/jackson-annotations;http://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations;https://github.com/FasterXML/jackson-annotations;src/main/java;5;18
4;com.fasterxml.jackson.core/jackson-databind;http://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-databind;https://github.com/FasterXML/jackson-databind;src/main/java;24;535
5;com.google.code.gson/gson;http://mvnrepository.com/artifact/com.google.code.gson/gson;https://github.com/google/gson;gson/src/main/java/com;11;158
6;com.google.guava/guava;http://mvnrepository.com/artifact/com.google.guava/guava;https://github.com/google/guava;guava/src;24;1701
7;com.google.gwt/gwt-user;http://mvnrepository.com/artifact/com.google.gwt/gwt-user;https://github.com/gwtproject/gwt;user/src;242;4177
8;commons-beanutils/commons-beanutils;http://mvnrepository.com/artifact/commons-beanutils/commons-beanutils;https://github.com/apache/commons-beanutils;src/main/java/org;9;127
9;commons-codec/commons-codec;http://mvnrepository.com/artifact/commons-codec/commons-codec;https://github.com/apache/commons-codec;src/main/java;11;83
10;commons-collections/commons-collections;http://mvnrepository.com/artifact/commons-collections/commons-collections;https://github.com/apache/commons-collections;src/main/java;23;467
11;commons-logging/commons-logging;http://mvnrepository.com/artifact/commons-logging/commons-logging;https://github.com/apache/commons-logging;src/main/java/org;6;27
12;dom4j/dom4j;http://mvnrepository.com/artifact/dom4j/dom4j;https://github.com/dom4j/dom4j;src/main;16;160
13;javax.mail/mail;http://mvnrepository.com/artifact/javax.mail/mail;https://github.com/javaee/javamail;mail/src/main/java/javax/mail;7;120
14;javax.servlet/servlet-api;http://mvnrepository.com/artifact/javax.servlet/servlet-api;https://github.com/javaee/servlet-spec;src/main/java;6;28
15;joda-time/joda-time;http://mvnrepository.com/artifact/joda-time/joda-time;https://github.com/JodaOrg/joda-time;src/main/java;10;220
16;junit/junit;http://mvnrepository.com/artifact/junit/junit;https://github.com/junit-team/junit;src/main/java;35;272
17;log4j/log4j;http://mvnrepository.com/artifact/log4j/log4j;https://github.com/apache/log4j;src/main/java;18;181
18;org.apache.commons/commons-lang3;http://mvnrepository.com/artifact/org.apache.commons/commons-lang3;https://github.com/apache/commons-lang;src/main;17;235
19;org.apache.httpcomponents/httpclient;http://mvnrepository.com/artifact/org.apache.httpcomponents/httpclient;https://github.com/apache/httpcomponents-client;httpclient5/src/main/java;31;390
20;org.apache.maven/maven-core;http://mvnrepository.com/artifact/org.apache.maven/maven-core;https://github.com/apache/maven;maven-core/src/main/java;65;281
21;org.apache.maven/maven-plugin-api;http://mvnrepository.com/artifact/org.apache.maven/maven-plugin-api;https://github.com/apache/maven;maven-plugin-api/src/main/java;9;16
22;org.clojure/clojure;http://mvnrepository.com/artifact/org.clojure/clojure;https://github.com/clojure/clojure;src/jvm;7;368
23;org.clojure/clojurescript;http://mvnrepository.com/artifact/org.clojure/clojurescript;https://github.com/clojure/clojurescript;src/main;1;0
24;org.clojure/tools.nrepl;http://mvnrepository.com/artifact/org.clojure/tools.nrepl;https://github.com/clojure/tools.nrepl;src/main/java;4;4
25;org.codehaus.jackson/jackson-core-asl;http://mvnrepository.com/artifact/org.codehaus.jackson/jackson-core-asl;https://github.com/FasterXML/jackson-core;src/main/java;15;89
26;org.codehaus.jackson/jackson-mapper-asl;http://mvnrepository.com/artifact/org.codehaus.jackson/jackson-mapper-asl;https://github.com/codehaus/jackson;src/mapper;22;446
27;org.easymock/easymock;http://mvnrepository.com/artifact/org.easymock/easymock;https://github.com/easymock/easymock;core/src/main/java;5;88
28;org.eclipse.jetty/jetty-server;http://mvnrepository.com/artifact/org.eclipse.jetty/jetty-server;https://github.com/eclipse/jetty.project;jetty-server/src/main;11;215
29;org.hamcrest/hamcrest-all;http://mvnrepository.com/artifact/org.hamcrest/hamcrest-all;https://github.com/hamcrest/JavaHamcrest;hamcrest-core/src/main;5;41
30;org.hamcrest/hamcrest-core;http://mvnrepository.com/artifact/org.hamcrest/hamcrest-core;https://github.com/hamcrest/JavaHamcrest;hamcrest-core/src/main;5;41
31;org.hamcrest/hamcrest-library;http://mvnrepository.com/artifact/org.hamcrest/hamcrest-library;https://github.com/hamcrest/JavaHamcrest;hamcrest-library/src/main;11;57
32;org.hibernate/hibernate-core;http://mvnrepository.com/artifact/org.hibernate/hibernate-core;https://github.com/hibernate/hibernate-orm;hibernate-core/src/main;331;3212
33;org.hibernate/hibernate-entitymanager;http://mvnrepository.com/artifact/org.hibernate/hibernate-entitymanager;https://github.com/hibernate/hibernate-orm;hibernate-core/src/main/java;331;3195
34;org.hibernate/hibernate-validator;http://mvnrepository.com/artifact/org.hibernate/hibernate-validator;https://github.com/hibernate/hibernate-validator;engine/src/main/java;82;657
35;org.javassist/javassist;http://mvnrepository.com/artifact/org.javassist/javassist;https://github.com/jboss-javassist/javassist;src/main;18;389
36;org.jetbrains.kotlin/kotlin-stdlib;http://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib;https://github.com/JetBrains/kotlin;libraries/stdlib/src;1;0
37;org.mockito/mockito-all;http://mvnrepository.com/artifact/org.mockito/mockito-all;https://github.com/mockito/mockito;src/main;68;400
38;org.mockito/mockito-core;http://mvnrepository.com/artifact/org.mockito/mockito-core;https://github.com/mockito/mockito;src/main/java;68;400
39;org.powermock/powermock-api-mockito;http://mvnrepository.com/artifact/org.powermock/powermock-api-mockito;https://github.com/powermock/powermock;powermock-api/powermock-api-mockito/src/main;23;52
40;org.powermock/powermock-module-junit4;http://mvnrepository.com/artifact/org.powermock/powermock-module-junit4;https://github.com/powermock/powermock;powermock-modules/powermock-module-junit4/src/main;8;21
41;org.projectlombok/lombok;http://mvnrepository.com/artifact/org.projectlombok/lombok;https://github.com/rzwitserloot/lombok;src/core/lombok;23;357
42;org.reflections/reflections;http://mvnrepository.com/artifact/org.reflections/reflections;https://github.com/ronmamo/reflections;src/main;8;83
43;org.scala-js/scalajs-test-interface;http://mvnrepository.com/artifact/org.scala-js/scalajs-test-interface;https://github.com/scala-js/scala-js;test-interface/src/main/scala/org;1;0
44;org.scalacheck/scalacheck;http://mvnrepository.com/artifact/org.scalacheck/scalacheck;https://github.com/rickynils/scalacheck;src/main;1;0
45;org.scalatest/scalatest;http://mvnrepository.com/artifact/org.scalatest/scalatest;https://github.com/scalatest/scalatest;scalactic/src/main/scala;1;0
46;org.scoverage/scalac-scoverage-plugin;http://mvnrepository.com/artifact/org.scoverage/scalac-scoverage-plugin;https://github.com/scoverage/scalac-scoverage-plugin;scalac-scoverage-plugin/src/main;1;0
47;org.scoverage/scalac-scoverage-runtime;http://mvnrepository.com/artifact/org.scoverage/scalac-scoverage-runtime;https://github.com/scoverage/scalac-scoverage-plugin;scalac-scoverage-runtime;1;0
48;org.slf4j/jcl-over-slf4j;http://mvnrepository.com/artifact/org.slf4j/jcl-over-slf4j;https://github.com/qos-ch/slf4j;jcl-over-slf4j/src/main/java/org;6;8
49;org.slf4j/jul-to-slf4j;http://mvnrepository.com/artifact/org.slf4j/jul-to-slf4j;https://github.com/qos-ch/slf4j;jul-to-slf4j/src/main;4;1
50;org.slf4j/slf4j-api;http://mvnrepository.com/artifact/org.slf4j/slf4j-api;https://github.com/qos-ch/slf4j;slf4j-api/src/main/java;7;25
51;org.slf4j/slf4j-simple;http://mvnrepository.com/artifact/org.slf4j/slf4j-simple;https://github.com/qos-ch/slf4j;slf4j-simple/src/main/java/org;4;6
52;org.spockframework/spock-core;http://mvnrepository.com/artifact/org.spockframework/spock-core;https://github.com/spockframework/spock;spock-core/src/main/java;32;398
53;org.springframework.boot/spring-boot-starter-test;http://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-test;https://github.com/spring-projects/spring-boot;spring-boot-project/spring-boot-test/src/main/java;21;95
54;org.springframework.boot/spring-boot-starter-web;http://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-web;https://github.com/spring-projects/spring-boot;spring-boot-project/spring-boot/src/main/java;77;470
55;org.springframework/spring-aop;http://mvnrepository.com/artifact/org.springframework/spring-aop;https://github.com/spring-projects/spring-framework;spring-aop/src/main/java;21;205
56;org.springframework/spring-beans;http://mvnrepository.com/artifact/org.springframework/spring-beans;https://github.com/spring-projects/spring-framework;spring-beans/src/main/java/org;16;278
57;org.springframework/spring-context;http://mvnrepository.com/artifact/org.springframework/spring-context;https://github.com/spring-projects/spring-framework;spring-context/src/main/java/org;69;558
58;org.springframework/spring-context-support;http://mvnrepository.com/artifact/org.springframework/spring-context-support;https://github.com/spring-projects/spring-framework;spring-context-support/src/main/java;17;99
59;org.springframework/spring-core;http://mvnrepository.com/artifact/org.springframework/spring-core;https://github.com/spring-projects/spring-framework;spring-core/src/main/java/org;34;463
60;org.springframework/spring-jdbc;http://mvnrepository.com/artifact/org.springframework/spring-jdbc;https://github.com/spring-projects/spring-framework;spring-jdbc/src/main/java;20;208
61;org.springframework/spring-test;http://mvnrepository.com/artifact/org.springframework/spring-test;https://github.com/spring-projects/spring-framework;spring-test/src/main/java/org;47;274
62;org.springframework/spring-tx;http://mvnrepository.com/artifact/org.springframework/spring-tx;https://github.com/spring-projects/spring-framework;spring-tx/src/main/java;23;159
63;org.springframework/spring-web;http://mvnrepository.com/artifact/org.springframework/spring-web;https://github.com/spring-projects/spring-framework;spring-web/src/main/java/org;57;607
64;org.testng/testng;http://mvnrepository.com/artifact/org.testng/testng;https://github.com/cbeust/testng;src/main/java/org;25;384
65;xerces/xercesImpl;http://mvnrepository.com/artifact/xerces/xercesImpl;https://github.com/apache/xerces2-j;src;49;801